name	id	coaching_history	current_team_head_coached
Jimmye Laycock	/guid/9202a8c04000641f8000000006bd1126		
Manny Matsakis	/guid/9202a8c04000641f8000000006ec1590		
Brent Venables	/guid/9202a8c04000641f8000000006b0f9f8		
Tim McCarty	/guid/9202a8c04000641f8000000006b82ebc		
Jewell Wallace	/guid/9202a8c04000641f8000000006ec485c		
Charley \"Pie\" Way	/guid/9202a8c04000641f8000000000ce7f49		
Harvey R. Holmes	/guid/9202a8c04000641f80000000011c735b		
Beattie Feathers	/guid/9202a8c04000641f8000000000a725a0		
Tracy Rocker	/guid/9202a8c04000641f800000000085b8b5		
Jack Henry	/guid/9202a8c04000641f8000000000a2872c		
Doug Kenna	/guid/9202a8c04000641f8000000000e9d942		
Bob \"Bones\" Hamilton	/guid/9202a8c04000641f8000000000e2900d		
Mike Gottfried	/guid/9202a8c04000641f8000000000edc643		
Otto Wagonhurst	/guid/9202a8c04000641f8000000006c360bd		
Lynn Amedee	/guid/9202a8c04000641f8000000006ba0dc0		
John Rosenberg	/guid/9202a8c04000641f800000000472ed5d		
Milan Creighton	/guid/9202a8c04000641f8000000009c77bb1	/guid/9202a8c04000641f8000000009c77a8d	
Ray Perkins	/guid/9202a8c04000641f80000000005962f3	/guid/9202a8c04000641f8000000009c77c52,/guid/9202a8c04000641f8000000009c7807a	
Bernie Bierman	/guid/9202a8c04000641f80000000009b7f88		
Harry Agganis	/guid/9202a8c04000641f8000000000367c48		
Bob Stoops	/guid/9202a8c04000641f800000000050a29a		
Pat Behrns	/guid/9202a8c04000641f8000000000b25da9		
John Robinson	/guid/9202a8c04000641f80000000007a2cb2	/guid/9202a8c04000641f8000000009c77e0a	
E. J. Stewart	/guid/9202a8c04000641f8000000004601424		
Glenn Dobbs	/guid/9202a8c04000641f80000000009e241c		
Amos Alonzo Stagg	/guid/9202a8c04000641f80000000001e0ebf		
Tom Fears	/guid/9202a8c04000641f8000000000a2b3c6	/guid/9202a8c04000641f8000000009c785c4	
Eddie Erdelatz	/guid/9202a8c04000641f8000000000b59ce0	/guid/9202a8c04000641f8000000009d8bfc6	
Mike Archer	/guid/9202a8c04000641f8000000000c099f5		
Wade Phillips	/guid/9202a8c04000641f80000000004c7c96	/guid/9202a8c04000641f8000000009c78719,/guid/9202a8c04000641f8000000009c785e4	Dallas Cowboys
Josh Heupel	/guid/9202a8c04000641f80000000006b49db		
George Welsh	/guid/9202a8c04000641f80000000006e76e2		
David Fultz	/guid/9202a8c04000641f8000000004747658		
Andy Smith	/guid/9202a8c04000641f80000000045eb193		
Patrick Nix	/guid/9202a8c04000641f80000000047ca092		
Dick Hoak	/guid/9202a8c04000641f80000000011bf574		
Charlie Cowdrey	/guid/9202a8c04000641f8000000006c1ca8c		
James Morrison	/guid/9202a8c04000641f8000000006c29ac2		
Todd Whitten	/guid/9202a8c04000641f8000000006f9f8a3		
Jim Knowles	/guid/9202a8c04000641f80000000074df40c		
Wade Moore	/guid/9202a8c04000641f8000000006edf7de		
Cal Lee	/guid/9202a8c04000641f8000000000dcc031		
Red Hickey	/guid/9202a8c04000641f8000000000b4e5cf	/guid/9202a8c04000641f8000000009c78903	
Frank Dobson	/guid/9202a8c04000641f8000000000f0c65c		
Jason White	/guid/9202a8c04000641f8000000000ae4ae7		
Basil Hayden	/guid/9202a8c04000641f8000000000ee80bd		
